Wavelength[nm],T% in an f/6 beam
334.0 ,0
334.1 ,0
334.2 ,0
334.3 ,0
334.4 ,0
334.5 ,0
334.6 ,0
334.7 ,0
334.8 ,0
334.9 ,0
335.0 ,0
335.1 ,0
335.2 ,0
335.3 ,0
335.4 ,0
335.5 ,0
335.6 ,0
335.7 ,0
335.8 ,0
335.9 ,0
336.0 ,0
336.1 ,0
336.2 ,0
336.3 ,0
336.4 ,0
336.5 ,0
336.6 ,0
336.7 ,0
336.8 ,0
336.9 ,0
337.0 ,0
337.1 ,0
337.2 ,0
337.3 ,0
337.4 ,0
337.5 ,0
337.6 ,0
337.7 ,0
337.8 ,0
337.9 ,0
338.0 ,0
338.1 ,0
338.2 ,0
338.3 ,0
338.4 ,0
338.5 ,0.00001
338.6 ,0.00001
338.7 ,0.00001
338.8 ,0
338.9 ,0
339.0 ,0
339.1 ,0
339.2 ,0
339.3 ,0
339.4 ,0
339.5 ,0
339.6 ,0
339.7 ,0.00001
339.8 ,0.00001
339.9 ,0.00001
340.0 ,0
340.1 ,0
340.2 ,0
340.3 ,0
340.4 ,0
340.5 ,0
340.6 ,0
340.7 ,0
340.8 ,0
340.9 ,0
341.0 ,0
341.1 ,0
341.2 ,0
341.3 ,0.00001
341.4 ,0.00001
341.5 ,0.00001
341.6 ,0
341.7 ,0
341.8 ,0
341.9 ,0
342.0 ,0
342.1 ,0
342.2 ,0
342.3 ,0
342.4 ,0
342.5 ,0
342.6 ,0
342.7 ,0
342.8 ,0
342.9 ,0
343.0 ,0
343.1 ,0
343.2 ,0
343.3 ,0
343.4 ,0
343.5 ,0
343.6 ,0
343.7 ,0
343.8 ,0
343.9 ,0
344.0 ,0
344.1 ,0
344.2 ,0
344.3 ,0
344.4 ,0
344.5 ,0
344.6 ,0
344.7 ,0
344.8 ,0
344.9 ,0
345.0 ,0
345.1 ,0
345.2 ,0
345.3 ,0
345.4 ,0
345.5 ,0
345.6 ,0
345.7 ,0
345.8 ,0
345.9 ,0
346.0 ,0
346.1 ,0
346.2 ,0
346.3 ,0
346.4 ,0
346.5 ,0
346.6 ,0
346.7 ,0
346.8 ,0
346.9 ,0
347.0 ,0
347.1 ,0
347.2 ,0
347.3 ,0
347.4 ,0
347.5 ,0
347.6 ,0
347.7 ,0
347.8 ,0
347.9 ,0
348.0 ,0
348.1 ,0
348.2 ,0
348.3 ,0
348.4 ,0
348.5 ,0
348.6 ,0
348.7 ,0
348.8 ,0
348.9 ,0
349.0 ,0
349.1 ,0
349.2 ,0
349.3 ,0
349.4 ,0
349.5 ,0
349.6 ,0
349.7 ,0
349.8 ,0
349.9 ,0
350.0 ,0
350.1 ,0
350.2 ,0
350.3 ,0
350.4 ,0
350.5 ,0
350.6 ,0
350.7 ,0
350.8 ,0
350.9 ,0
351.0 ,0
351.1 ,0
351.2 ,0
351.3 ,0
351.4 ,0
351.5 ,0
351.6 ,0
351.7 ,0
351.8 ,0
351.9 ,0
352.0 ,0
352.1 ,0
352.2 ,0
352.3 ,0
352.4 ,0
352.5 ,0
352.6 ,0
352.7 ,0
352.8 ,0
352.9 ,0
353.0 ,0
353.1 ,0
353.2 ,0
353.3 ,0
353.4 ,0
353.5 ,0
353.6 ,0
353.7 ,0
353.8 ,0
353.9 ,0
354.0 ,0
354.1 ,0
354.2 ,0
354.3 ,0
354.4 ,0
354.5 ,0
354.6 ,0
354.7 ,0
354.8 ,0
354.9 ,0
355.0 ,0
355.1 ,0
355.2 ,0
355.3 ,0
355.4 ,0
355.5 ,0
355.6 ,0
355.7 ,0
355.8 ,0
355.9 ,0.00001
356.0 ,0
356.1 ,0
356.2 ,0
356.3 ,0
356.4 ,0
356.5 ,0
356.6 ,0
356.7 ,0
356.8 ,0
356.9 ,0
357.0 ,0
357.1 ,0
357.2 ,0
357.3 ,0
357.4 ,0
357.5 ,0
357.6 ,0
357.7 ,0
357.8 ,0
357.9 ,0
358.0 ,0
358.1 ,0
358.2 ,0.00001
358.3 ,0.00004
358.4 ,0.00004
358.5 ,0.00004
358.6 ,0.00001
358.7 ,0
358.8 ,0
358.9 ,0
359.0 ,0
359.1 ,0
359.2 ,0
359.3 ,0
359.4 ,0
359.5 ,0
359.6 ,0.00001
359.7 ,0.00001
359.8 ,0.00002
359.9 ,0.00006
360.0 ,0.00018
360.1 ,0.00023
360.2 ,0.00023
360.3 ,0.00015
360.4 ,0.00006
360.5 ,0.00003
360.6 ,0.00003
360.7 ,0.00002
360.8 ,0.00002
360.9 ,0.00002
361.0 ,0.00002
361.1 ,0.00003
361.2 ,0.00004
361.3 ,0.00006
361.4 ,0.0001
361.5 ,0.00021
361.6 ,0.0003
361.7 ,0.00031
361.8 ,0.00025
361.9 ,0.00013
362.0 ,0.00007
362.1 ,0.00004
362.2 ,0.00003
362.3 ,0.00002
362.4 ,0.00002
362.5 ,0.00002
362.6 ,0.00001
362.7 ,0.00001
362.8 ,0.00001
362.9 ,0.00001
363.0 ,0.00002
363.1 ,0.00002
363.2 ,0.00003
363.3 ,0.00004
363.4 ,0.00006
363.5 ,0.00009
363.6 ,0.00016
363.7 ,0.00031
363.8 ,0.00058
363.9 ,0.00083
364.0 ,0.00092
364.1 ,0.00081
364.2 ,0.00059
364.3 ,0.00042
364.4 ,0.00032
364.5 ,0.00027
364.6 ,0.00025
364.7 ,0.00024
364.8 ,0.00024
364.9 ,0.00025
365.0 ,0.00027
365.1 ,0.00027
365.2 ,0.00028
365.3 ,0.00031
365.4 ,0.00034
365.5 ,0.00038
365.6 ,0.00045
365.7 ,0.00052
365.8 ,0.00062
365.9 ,0.00074
366.0 ,0.00086
366.1 ,0.001
366.2 ,0.00111
366.3 ,0.0012
366.4 ,0.00126
366.5 ,0.00129
366.6 ,0.00131
366.7 ,0.00133
366.8 ,0.00134
366.9 ,0.00137
367.0 ,0.0014
367.1 ,0.00143
367.2 ,0.00147
367.3 ,0.00151
367.4 ,0.00155
367.5 ,0.00158
367.6 ,0.00161
367.7 ,0.00164
367.8 ,0.00166
367.9 ,0.00168
368.0 ,0.0017
368.1 ,0.00171
368.2 ,0.00173
368.3 ,0.00175
368.4 ,0.00177
368.5 ,0.0018
368.6 ,0.00184
368.7 ,0.00188
368.8 ,0.00192
368.9 ,0.00197
369.0 ,0.00202
369.1 ,0.00206
369.2 ,0.00211
369.3 ,0.00215
369.4 ,0.00219
369.5 ,0.00222
369.6 ,0.00225
369.7 ,0.00227
369.8 ,0.0023
369.9 ,0.00233
370.0 ,0.00237
370.1 ,0.00243
370.2 ,0.00251
370.3 ,0.0026
370.4 ,0.00271
370.5 ,0.00284
370.6 ,0.00299
370.7 ,0.00315
370.8 ,0.00334
370.9 ,0.00353
371.0 ,0.00374
371.1 ,0.00394
371.2 ,0.00416
371.3 ,0.00438
371.4 ,0.00462
371.5 ,0.00486
371.6 ,0.0051
371.7 ,0.00534
371.8 ,0.00557
371.9 ,0.0058
372.0 ,0.00603
372.1 ,0.00624
372.2 ,0.00645
372.3 ,0.00665
372.4 ,0.00686
372.5 ,0.00706
372.6 ,0.00726
372.7 ,0.00747
372.8 ,0.00768
372.9 ,0.00789
373.0 ,0.00812
373.1 ,0.00835
373.2 ,0.00859
373.3 ,0.00885
373.4 ,0.00912
373.5 ,0.00941
373.6 ,0.00973
373.7 ,0.01007
373.8 ,0.01043
373.9 ,0.01083
374.0 ,0.01125
374.1 ,0.01171
374.2 ,0.01221
374.3 ,0.01275
374.4 ,0.01333
374.5 ,0.01396
374.6 ,0.01463
374.7 ,0.01536
374.8 ,0.01613
374.9 ,0.01695
375.0 ,0.01784
375.1 ,0.01876
375.2 ,0.01974
375.3 ,0.02078
375.4 ,0.02188
375.5 ,0.02303
375.6 ,0.02425
375.7 ,0.02553
375.8 ,0.02687
375.9 ,0.02828
376.0 ,0.02976
376.1 ,0.03131
376.2 ,0.03294
376.3 ,0.03466
376.4 ,0.03647
376.5 ,0.03838
376.6 ,0.04041
376.7 ,0.04256
376.8 ,0.04485
376.9 ,0.0473
377.0 ,0.04992
377.1 ,0.05273
377.2 ,0.05576
377.3 ,0.05902
377.4 ,0.06256
377.5 ,0.06639
377.6 ,0.07055
377.7 ,0.07507
377.8 ,0.08
377.9 ,0.08538
378.0 ,0.09126
378.1 ,0.09768
378.2 ,0.10471
378.3 ,0.11239
378.4 ,0.12081
378.5 ,0.13003
378.6 ,0.14013
378.7 ,0.15119
378.8 ,0.16331
378.9 ,0.1766
379.0 ,0.19115
379.1 ,0.20709
379.2 ,0.22456
379.3 ,0.24369
379.4 ,0.26467
379.5 ,0.28767
379.6 ,0.3129
379.7 ,0.3406
379.8 ,0.37101
379.9 ,0.40446
380.0 ,0.4413
380.1 ,0.48147
380.2 ,0.52579
380.3 ,0.57478
380.4 ,0.62907
380.5 ,0.68935
380.6 ,0.75644
380.7 ,0.8313
380.8 ,0.91502
380.9 ,1.00898
381.0 ,1.11467
381.1 ,1.23389
381.2 ,1.36879
381.3 ,1.52182
381.4 ,1.69604
381.5 ,1.89489
381.6 ,2.12254
381.7 ,2.38388
381.8 ,2.68465
381.9 ,3.03198
382.0 ,3.43403
382.1 ,3.90082
382.2 ,4.44389
382.3 ,5.07692
382.4 ,5.81681
382.5 ,6.68288
382.6 ,7.69813
382.7 ,8.88944
382.8 ,10.28753
382.9 ,11.9289
383.0 ,13.85324
383.1 ,16.1037
383.2 ,18.72714
383.3 ,21.76887
383.4 ,25.27313
383.5 ,29.27198
383.6 ,33.78153
383.7 ,38.79256
383.8 ,44.26028
383.9 ,50.10461
384.0 ,56.19814
384.1 ,62.37871
384.2 ,68.45765
384.3 ,74.24055
384.4 ,79.55621
384.5 ,84.2666
384.6 ,88.28778
384.7 ,91.59219
384.8 ,94.20262
384.9 ,96.1833
385.0 ,97.6206
385.1 ,98.60354
385.2 ,99.2429
385.3 ,99.62522
385.4 ,99.82512
385.5 ,99.90312
385.6 ,99.90636
385.7 ,99.86973
385.8 ,99.8176
385.9 ,99.7657
386.0 ,99.72305
386.1 ,99.69565
386.2 ,99.68164
386.3 ,99.67889
386.4 ,99.68383
386.5 ,99.69242
386.6 ,99.70064
386.7 ,99.70506
386.8 ,99.70322
386.9 ,99.69374
387.0 ,99.6765
387.1 ,99.65134
387.2 ,99.62173
387.3 ,99.59089
387.4 ,99.56266
387.5 ,99.54135
387.6 ,99.53129
387.7 ,99.53626
387.8 ,99.55907
387.9 ,99.60075
388.0 ,99.65974
388.1 ,99.72945
388.2 ,99.80145
388.3 ,99.85977
388.4 ,99.88094
388.5 ,99.83238
388.6 ,99.67115
388.7 ,99.34304
388.8 ,98.78275
388.9 ,97.91451
389.0 ,96.65646
389.1 ,94.92921
389.2 ,92.65453
389.3 ,89.77679
389.4 ,86.26697
389.5 ,82.13731
389.6 ,77.44305
389.7 ,72.28214
389.8 ,66.78876
389.9 ,61.11274
390.0 ,55.41322
390.1 ,49.87952
390.2 ,44.58578
390.3 ,39.6233
390.4 ,35.04775
390.5 ,30.89069
390.6 ,27.15828
390.7 ,23.83877
390.8 ,20.90902
390.9 ,18.33604
391.0 ,16.08615
391.1 ,14.12426
391.2 ,12.41614
391.3 ,10.93053
391.4 ,9.63774
391.5 ,8.51258
391.6 ,7.53244
391.7 ,6.67759
391.8 ,5.93115
391.9 ,5.27794
392.0 ,4.70551
392.1 ,4.20287
392.2 ,3.76083
392.3 ,3.37151
392.4 ,3.0278
392.5 ,2.72393
392.6 ,2.45483
392.7 ,2.21613
392.8 ,2.00412
392.9 ,1.81541
393.0 ,1.64724
393.1 ,1.49725
393.2 ,1.36319
393.3 ,1.24324
393.4 ,1.1357
393.5 ,1.03918
393.6 ,0.95245
393.7 ,0.87439
393.8 ,0.80407
393.9 ,0.74059
394.0 ,0.68322
394.1 ,0.63129
394.2 ,0.58422
394.3 ,0.54151
394.4 ,0.50267
394.5 ,0.4673
394.6 ,0.43505
394.7 ,0.40558
394.8 ,0.37862
394.9 ,0.3539
395.0 ,0.3312
395.1 ,0.31043
395.2 ,0.29128
395.3 ,0.2736
395.4 ,0.25723
395.5 ,0.24205
395.6 ,0.22796
395.7 ,0.21486
395.8 ,0.20265
395.9 ,0.19126
396.0 ,0.18062
396.1 ,0.17066
396.2 ,0.16133
396.3 ,0.15258
396.4 ,0.14437
396.5 ,0.13665
396.6 ,0.12939
396.7 ,0.12257
396.8 ,0.11615
396.9 ,0.11011
397.0 ,0.10441
397.1 ,0.09906
397.2 ,0.09401
397.3 ,0.08927
397.4 ,0.0848
397.5 ,0.08059
397.6 ,0.07664
397.7 ,0.07292
397.8 ,0.06942
397.9 ,0.06613
398.0 ,0.06304
398.1 ,0.06014
398.2 ,0.05741
398.3 ,0.05485
398.4 ,0.05245
398.5 ,0.05019
398.6 ,0.04807
398.7 ,0.04608
398.8 ,0.04421
398.9 ,0.04246
399.0 ,0.0408
399.1 ,0.03925
399.2 ,0.03779
399.3 ,0.03642
399.4 ,0.03512
399.5 ,0.0339
399.6 ,0.03274
399.7 ,0.03165
399.8 ,0.03062
399.9 ,0.02964
400.0 ,0.02872
400.1 ,0.02784
400.2 ,0.02701
400.3 ,0.02622
400.4 ,0.02546
400.5 ,0.02474
400.6 ,0.02404
400.7 ,0.02338
400.8 ,0.02274
400.9 ,0.02212
401.0 ,0.02153
401.1 ,0.02096
401.2 ,0.0204
401.3 ,0.01987
401.4 ,0.01935
401.5 ,0.01885
401.6 ,0.01836
401.7 ,0.01789
401.8 ,0.01743
401.9 ,0.01699
402.0 ,0.01656
402.1 ,0.01614
402.2 ,0.01574
402.3 ,0.01535
402.4 ,0.01497
402.5 ,0.0146
402.6 ,0.01424
402.7 ,0.0139
402.8 ,0.01356
402.9 ,0.01324
403.0 ,0.01293
403.1 ,0.01263
403.2 ,0.01234
403.3 ,0.01206
403.4 ,0.01179
403.5 ,0.01153
403.6 ,0.01128
403.7 ,0.01103
403.8 ,0.0108
403.9 ,0.01057
404.0 ,0.01035
404.1 ,0.01013
404.2 ,0.00992
404.3 ,0.00972
404.4 ,0.00952
404.5 ,0.00933
404.6 ,0.00914
404.7 ,0.00896
404.8 ,0.00878
404.9 ,0.0086
405.0 ,0.00843
405.1 ,0.00827
405.2 ,0.0081
405.3 ,0.00794
405.4 ,0.00778
405.5 ,0.00762
405.6 ,0.00747
405.7 ,0.00732
405.8 ,0.00717
405.9 ,0.00702
406.0 ,0.00687
406.1 ,0.00673
406.2 ,0.00659
406.3 ,0.00645
406.4 ,0.00631
406.5 ,0.00618
406.6 ,0.00605
406.7 ,0.00592
406.8 ,0.00579
406.9 ,0.00567
407.0 ,0.00555
407.1 ,0.00544
407.2 ,0.00533
407.3 ,0.00522
407.4 ,0.00512
407.5 ,0.00502
407.6 ,0.00492
407.7 ,0.00483
407.8 ,0.00474
407.9 ,0.00465
408.0 ,0.00457
408.1 ,0.00449
408.2 ,0.00441
408.3 ,0.00434
408.4 ,0.00427
408.5 ,0.0042
408.6 ,0.00414
408.7 ,0.00407
408.8 ,0.00401
408.9 ,0.00395
409.0 ,0.00389
409.1 ,0.00383
409.2 ,0.00377
409.3 ,0.0037
409.4 ,0.00364
409.5 ,0.00358
409.6 ,0.00352
409.7 ,0.00347
409.8 ,0.00341
409.9 ,0.00336
410.0 ,0.00332
410.1 ,0.00331
410.2 ,0.0033
410.3 ,0.0033
410.4 ,0.00331
410.5 ,0.00332
410.6 ,0.00334
410.7 ,0.00335
410.8 ,0.00337
410.9 ,0.00339
411.0 ,0.0034
411.1 ,0.00341
411.2 ,0.00341
411.3 ,0.00341
411.4 ,0.0034
411.5 ,0.00338
411.6 ,0.00335
411.7 ,0.00331
411.8 ,0.00324
411.9 ,0.00315
412.0 ,0.00305
412.1 ,0.00293
412.2 ,0.0028
412.3 ,0.00266
412.4 ,0.00252
412.5 ,0.00237
412.6 ,0.00221
412.7 ,0.00206
412.8 ,0.00192
412.9 ,0.00178
413.0 ,0.00166
413.1 ,0.00156
413.2 ,0.00147
413.3 ,0.00139
413.4 ,0.00132
413.5 ,0.00127
413.6 ,0.00122
413.7 ,0.00118
413.8 ,0.00115
413.9 ,0.00113
414.0 ,0.00113
414.1 ,0.00108
414.2 ,0.00104
414.3 ,0.00101
414.4 ,0.001
414.5 ,0.001
414.6 ,0.001
414.7 ,0.00102
414.8 ,0.00106
414.9 ,0.0011
415.0 ,0.00116
415.1 ,0.00128
415.2 ,0.00141
415.3 ,0.00154
415.4 ,0.00165
415.5 ,0.00174
415.6 ,0.00177
415.7 ,0.00176
415.8 ,0.00171
415.9 ,0.00162
416.0 ,0.00152
416.1 ,0.00128
416.2 ,0.00106
416.3 ,0.00087
416.4 ,0.00072
416.5 ,0.0006
416.6 ,0.0005
416.7 ,0.00042
416.8 ,0.00036
416.9 ,0.00031
417.0 ,0.00028
417.1 ,0.00027
417.2 ,0.00027
417.3 ,0.00027
417.4 ,0.00028
417.5 ,0.00029
417.6 ,0.00031
417.7 ,0.00034
417.8 ,0.00037
417.9 ,0.0004
418.0 ,0.00045
418.1 ,0.00043
418.2 ,0.00042
418.3 ,0.0004
418.4 ,0.00039
418.5 ,0.00037
418.6 ,0.00035
418.7 ,0.00033
418.8 ,0.0003
418.9 ,0.00027
419.0 ,0.00024
419.1 ,0.00022
419.2 ,0.0002
419.3 ,0.00018
419.4 ,0.00016
419.5 ,0.00014
419.6 ,0.00013
419.7 ,0.00011
419.8 ,0.0001
419.9 ,0.00009
420.0 ,0.00008
420.1 ,0.00008
420.2 ,0.00008
420.3 ,0.00007
420.4 ,0.00007
420.5 ,0.00007
420.6 ,0.00007
420.7 ,0.00007
420.8 ,0.00007
420.9 ,0.00007
421.0 ,0.00007
421.1 ,0.00007
421.2 ,0.00006
421.3 ,0.00006
421.4 ,0.00006
421.5 ,0.00006
421.6 ,0.00006
421.7 ,0.00006
421.8 ,0.00006
421.9 ,0.00006
422.0 ,0.00007
422.1 ,0.00007
422.2 ,0.00008
422.3 ,0.00009
422.4 ,0.0001
422.5 ,0.00011
422.6 ,0.00013
422.7 ,0.00015
422.8 ,0.00017
422.9 ,0.00018
423.0 ,0.0002
423.1 ,0.0002
423.2 ,0.0002
423.3 ,0.00019
423.4 ,0.00018
423.5 ,0.00016
423.6 ,0.00014
423.7 ,0.00012
423.8 ,0.00011
423.9 ,0.00009
424.0 ,0.00008
424.1 ,0.00008
424.2 ,0.00007
424.3 ,0.00007
424.4 ,0.00007
424.5 ,0.00007
424.6 ,0.00007
424.7 ,0.00007
424.8 ,0.00008
424.9 ,0.00008
425.0 ,0.00009
425.1 ,0.00007
425.2 ,0.00006
425.3 ,0.00005
425.4 ,0.00005
425.5 ,0.00004
425.6 ,0.00004
425.7 ,0.00004
425.8 ,0.00004
425.9 ,0.00004
426.0 ,0.00003
426.1 ,0.00004
426.2 ,0.00004
426.3 ,0.00005
426.4 ,0.00005
426.5 ,0.00005
426.6 ,0.00006
426.7 ,0.00007
426.8 ,0.00007
426.9 ,0.00008
427.0 ,0.00009
427.1 ,0.00009
427.2 ,0.00009
427.3 ,0.00009
427.4 ,0.00009
427.5 ,0.00009
427.6 ,0.00009
427.7 ,0.00008
427.8 ,0.00008
427.9 ,0.00008
428.0 ,0.00008
428.1 ,0.00008
428.2 ,0.00008
428.3 ,0.00007
428.4 ,0.00007
428.5 ,0.00007
428.6 ,0.00007
428.7 ,0.00006
428.8 ,0.00006
428.9 ,0.00006
429.0 ,0.00006
429.1 ,0.00006
429.2 ,0.00006
429.3 ,0.00006
429.4 ,0.00006
429.5 ,0.00006
429.6 ,0.00006
429.7 ,0.00006
429.8 ,0.00006
429.9 ,0.00006
430.0 ,0.00006
430.1 ,0.00005
430.2 ,0.00004
430.3 ,0.00004
430.4 ,0.00003
430.5 ,0.00003
430.6 ,0.00003
430.7 ,0.00002
430.8 ,0.00002
430.9 ,0.00002
431.0 ,0.00002
431.1 ,0.00002
431.2 ,0.00002
431.3 ,0.00002
431.4 ,0.00002
431.5 ,0.00002
431.6 ,0.00002
431.7 ,0.00002
431.8 ,0.00002
431.9 ,0.00002
432.0 ,0.00003
432.1 ,0.00003
432.2 ,0.00003
432.3 ,0.00003
432.4 ,0.00003
432.5 ,0.00003
432.6 ,0.00003
432.7 ,0.00003
432.8 ,0.00003
432.9 ,0.00003
433.0 ,0.00003
433.1 ,0.00003
433.2 ,0.00004
433.3 ,0.00004
433.4 ,0.00004
433.5 ,0.00005
433.6 ,0.00005
433.7 ,0.00006
433.8 ,0.00006
433.9 ,0.00007
434.0 ,0.00008
434.1 ,0.00009
434.2 ,0.0001
434.3 ,0.00011
434.4 ,0.00012
434.5 ,0.00013
434.6 ,0.00015
434.7 ,0.00016
434.8 ,0.00017
434.9 ,0.00019
435.0 ,0.0002
435.1 ,0.00021
435.2 ,0.00022
435.3 ,0.00023
435.4 ,0.00024
435.5 ,0.00024
435.6 ,0.00024
435.7 ,0.00024
435.8 ,0.00024
435.9 ,0.00024
436.0 ,0.00024
436.1 ,0.00024
436.2 ,0.00025
436.3 ,0.00026
436.4 ,0.00026
436.5 ,0.00027
436.6 ,0.00027
436.7 ,0.00027
436.8 ,0.00028
436.9 ,0.00028
437.0 ,0.00028
437.1 ,0.00025
437.2 ,0.00023
437.3 ,0.00021
437.4 ,0.00019
437.5 ,0.00017
437.6 ,0.00016
437.7 ,0.00014
437.8 ,0.00013
437.9 ,0.00012
438.0 ,0.00011
438.1 ,0.00011
438.2 ,0.0001
438.3 ,0.0001
438.4 ,0.00009
438.5 ,0.00009
438.6 ,0.00009
438.7 ,0.00009
438.8 ,0.00009
438.9 ,0.00009
439.0 ,0.00009
439.1 ,0.00009
439.2 ,0.0001
439.3 ,0.0001
439.4 ,0.00011
439.5 ,0.00012
439.6 ,0.00013
439.7 ,0.00015
439.8 ,0.00017
439.9 ,0.0002
440.0 ,0.00023
440.1 ,0.00028
440.2 ,0.00034
440.3 ,0.00041
440.4 ,0.00048
440.5 ,0.00055
440.6 ,0.00059
440.7 ,0.00059
440.8 ,0.00056
440.9 ,0.00049
441.0 ,0.00042
441.1 ,0.00033
441.2 ,0.00026
441.3 ,0.00021
441.4 ,0.00017
441.5 ,0.00014
441.6 ,0.00012
441.7 ,0.0001
441.8 ,0.00009
441.9 ,0.00008
442.0 ,0.00007
442.1 ,0.00006
442.2 ,0.00006
442.3 ,0.00005
442.4 ,0.00005
442.5 ,0.00005
442.6 ,0.00005
442.7 ,0.00005
